TRADE NO 	DATETIME 	TYPE 	SYMBOL 	VOLUME 	OPEN PRICE 	CLOSE PRICE 	SWAP 	COMMISSION 	P&L
75907300 	2021-05-19 12:36 	SELL 	GBPAUD 	0.01 	1.8289 	1.82867 	0 	0 	0.15
75907370 	2021-05-19 13:06 	SELL 	GBPNZD 	0.01 	1.96966 	1.96927 	0 	0 	0.23
75907672 	2021-05-19 13:20 	BUY 	AUDCHF 	0.01 	0.69785 	0.69853 	0 	0 	0.61
75907810 	2021-05-19 13:20 	BUY 	NZDCHF 	0.01 	0.648 	0.64843 	0 	0 	0.39
76084009 	2021-05-20 10:49 	SELL 	EURCAD 	0.01 	1.47882 	1.47859 	0 	0 	0.16
76084213 	2021-05-20 11:32 	SELL 	GBPCAD 	0.01 	1.71267 	1.71241 	0 	0 	0.17
76084789 	2021-05-20 11:11 	BUY 	CADCHF 	0.01 	0.74309 	0.74364 	0 	0 	0.5
76085025 	2021-05-20 13:39 	BUY 	NZDCHF 	0.01 	0.64701 	0.64762 	0 	0 	0.56
76263335 	2021-05-21 11:52 	SELL 	GBPUSD 	0.01 	1.42234 	1.42205 	0 	0 	0.24
76263352 	2021-05-21 11:55 	BUY 	USDCHF 	0.01 	0.89625 	0.89643 	0 	0 	0.16
76263395 	2021-05-21 14:45 	BUY 	USDCAD 	0.01 	1.20484 	1.20498 	0 	0 	0.1
76272075 	2021-05-21 13:40 	BUY 	EURGBP 	0.01 	0.85904 	0.85916 	0 	0 	0.14
76341866 	2021-05-24 06:22 	SELL 	XAUUSD 	0.01 	1885.4 	1884.89 	0 	0 	0.42
76525545 	2021-05-25 15:13 	SELL 	EURJPY 	0.01 	133.416 	133.387 	0 	0 	0.22
76525675 	2021-05-26 10:13 	SELL 	EURGBP 	0.01 	0.86469 	0.86434 	0.01 	0 	0.4
76525741 	2021-06-04 16:14 	BUY 	AUDNZD 	0.01 	1.0738 	1.07467 	-0.1 	0 	0.51
76716904 	2021-05-26 11:02 	SELL 	EURCAD 	0.01 	1.47864 	1.47841 	0 	0 	0.16
76717064 	2021-05-26 11:23 	SELL 	GBPCAD 	0.01 	1.71044 	1.71007 	0 	0 	0.25
76717247 	2021-05-26 11:25 	SELL 	CHFJPY 	0.01 	121.747 	121.679 	0 	0 	0.51
76892493 	2021-05-27 17:23 	BUY 	EURNZD 	0.01 	1.67248 	1.67313 	0 	0 	0.39
76892793 	2021-05-27 07:54 	BUY 	CADCHF 	0.01 	0.73994 	0.74051 	0 	0 	0.52
76892981 	2021-05-27 07:27 	SELL 	NZDJPY 	0.01 	79.564 	79.535 	0 	0 	0.22
76936574 	2021-05-27 15:57 	SELL 	NZDCHF 	0.01 	0.65564 	0.65523 	0 	0 	0.37
79433733 	2021-06-10 12:40 	BUY 	GBPCHF 	0.01 	1.26285 	1.26347 	0 	0 	0.57
81261076 	2021-06-18 13:05 	SELL 	EURCHF 	0.01 	1.09452 	1.09424 	0 	0 	0.26
81343125 	2021-06-18 15:12 	BUY 	AUDUSD 	0.01 	0.74957 	0.74986 	0 	0 	0.24
81343436 	2021-06-18 15:14 	SELL 	USDCHF 	0.01 	0.92199 	0.92189 	0 	0 	0.1
81343682 	2021-06-18 19:21 	SELL 	EURNZD 	0.01 	1.70896 	1.70859 	0 	0 	0.22
81343871 	2021-06-21 15:00 	BUY 	AUDJPY 	0.01 	82.847 	82.915 	0.02 	0 	0.52
81344028 	2021-06-21 10:27 	BUY 	NZDJPY 	0.01 	76.699 	76.796 	0.01 	0 	0.74
81344273 	2021-06-18 15:38 	BUY 	NZDCAD 	0.01 	0.86087 	0.86141 	0 	0 	0.37
81504527 	2021-06-21 07:00 	SELL 	USDCAD 	0.01 	1.24749 	1.24723 	0 	0 	0.18
